"latitude","longitude","acc"
"41.3772461","2.1763751","550"
"41.3808449","2.1232928","538"
"41.3808449","2.173676","538"
"41.3970395","2.1583811","533"
"41.3781458","2.1772748","523"
"41.3844437","2.1781745","516"
"41.4006383","2.1673781","516"
"41.4042371","2.1754754","506"
"41.4033374","2.1898706","505"
"41.4033374","2.1754754","500"
"41.3736473","2.1493841","497"
"41.3736473","2.1484844","494"
"41.3844437","2.182673","494"
"41.401538","2.1691775","491"
"41.3817446","2.1772748","488"
"41.3628509","2.1520832","488"
"41.3826443","2.1718766","482"
"41.392541","2.164679","482"
"41.4150335","2.1529829","469"
"41.3718479","2.1511835","466"
"41.3709482","2.1511835","465"
"41.4159332","2.1529829","463"
"41.3943404","2.1619799","462"
"41.4141338","2.1538826","461"
"41.3880425","2.1709769","459"
"41.3763464","2.1772748","452"
"41.374547","2.1493841","451"
"41.3718479","2.1403871","451"
"41.401538","2.1619799","450"
"41.374547","2.1772748","443"
"41.383544","2.1745757","440"
"41.3907416","2.1655787","437"
"41.3889422","2.1691775","437"
"41.3808449","2.1709769","435"
"41.4033374","2.1088976","428"
"41.4150335","2.1538826","427"
"41.3844437","2.1745757","424"
"41.3826443","2.173676","424"
"41.3682491","2.1538826","423"
"41.3871428","2.1709769","420"
"41.3754467","2.1772748","415"
"41.3997386","2.1637793","413"
"41.383544","2.1754754","413"
"41.3709482","2.1502838","412"
"41.3907416","2.1808736","409"
"41.3907416","2.1628796","406"
"41.4123344","2.1511835","399"
"41.3844437","2.1709769","399"
"41.3889422","2.1367883","398"
"41.4060365","2.1475847","396"
"41.4024377","2.173676","390"
"41.3916413","2.1637793","388"
"41.4114347","2.2213601","384"
"41.3880425","2.1637793","375"
"41.3880425","2.1529829","372"
"41.3754467","2.1790742","366"
"41.3871428","2.1754754","363"
"41.3880425","2.1754754","362"
"41.3691488","2.1061985","358"
"41.4096353","2.1880712","355"
"41.383544","2.1709769","353"
"41.3898419","2.1673781","351"
"41.4069362","2.1898706","351"
"41.4114347","2.2231595","340"
"41.3736473","2.1529829","336"
"41.3817446","2.173676","336"
"41.3826443","2.1745757","334"
"41.383544","2.1718766","333"
"41.3781458","2.1781745","333"
"41.3709482","2.1493841","332"
"41.3853434","2.1772748","330"
"41.383544","2.1790742","327"
"41.3871428","2.1727763","326"
"41.4006383","2.1691775","325"
"41.3763464","2.1493841","323"
"41.3907416","2.1664784","319"
"41.3826443","2.1763751","317"
"41.3871428","2.173676","315"
"41.3754467","2.1799739","315"
"41.3781458","2.1691775","314"
"41.3817446","2.1790742","313"
"41.3142671","2.0891042","313"
"41.3898419","2.1502838","312"
"41.3772461","2.1844724","307"
"41.3916413","2.1673781","303"
"41.3754467","2.1484844","300"
"41.3871428","2.1745757","298"
"41.3790455","2.1772748","298"
"41.4348269","2.1205937","295"
"41.3862431","2.1637793","293"
"41.4132341","2.1520832","289"
"41.3853434","2.1763751","288"
"41.3700485","2.1574814","288"
"41.3853434","2.1691775","285"
"41.3871428","2.1961685","284"
"41.3844437","2.1853721","283"
"41.3997386","2.1790742","282"
"41.3898419","2.1862718","278"
"41.383544","2.1781745","276"
"41.383544","2.1808736","271"
"41.3628509","2.1529829","270"
"41.3682491","2.1601805","269"
"41.392541","2.1610802","268"
"41.3799452","2.1709769","267"
"41.4114347","2.1745757","266"
"41.3844437","2.1718766","263"
"41.419532","2.2195607","261"
"41.4024377","2.1727763","260"
"41.3691488","2.1475847","260"
"41.3538539","2.1313901","260"
"41.4132341","2.164679","259"
"41.383544","2.182673","259"
"41.3889422","2.1682778","258"
"41.4042371","2.1727763","258"
"41.3889422","2.1862718","256"
"41.4159332","2.1520832","255"
"41.3997386","2.1574814","254"
"41.4033374","2.1889709","253"
"41.3880425","2.1673781","252"
"41.3952401","2.1610802","251"
"41.3961398","2.1601805","249"
"41.3826443","2.1781745","249"
"41.3862431","2.1781745","249"
"41.3700485","2.1520832","246"
"41.410535","2.1844724","246"
"41.3844437","2.1817733","245"
"41.3817446","2.1691775","242"
"41.4132341","2.1313901","242"
"41.4213314","2.119694","242"
"41.3817446","2.1709769","242"
"41.3916413","2.1799739","241"
"41.4060365","2.1763751","240"
"41.3934407","2.1061985","238"
"41.3808449","2.1214934","238"
"41.3907416","2.1619799","238"
"41.4006383","2.1574814","237"
"41.3961398","2.1934694","235"
"41.3934407","2.1628796","233"
"41.3691488","2.146685","231"
"41.3862431","2.1727763","230"
"41.3880425","2.1871715","229"
"41.3988389","2.1691775","227"
"41.3880425","2.1133961","224"
"41.3808449","2.1727763","223"
"41.3871428","2.1817733","222"
"41.392541","2.1637793","222"
"41.3538539","2.1295907","221"
"41.4276293","2.2384544","219"
"41.383544","2.1844724","217"
"41.3700485","2.1502838","215"
"41.3916413","2.1601805","214"
"41.3799452","2.173676","214"
"41.3556533","2.1322898","214"
"41.3727476","2.1520832","213"
"41.3898419","2.1637793","212"
"41.374547","2.1718766","212"
"41.3763464","2.1745757","212"
"41.3826443","2.1691775","211"
"41.3988389","2.1610802","210"
"41.374547","2.182673","210"
"41.374547","2.1898706","210"
"41.4024377","2.1637793","210"
"41.3862431","2.1628796","210"
"41.3808449","2.1745757","207"
"41.3781458","2.1745757","206"
"41.3781458","2.173676","205"
"41.3637506","2.1655787","205"
"41.392541","2.1403871","205"
"41.401538","2.1754754","205"
"41.3646503","2.1664784","204"
"41.3853434","2.173676","203"
"41.3862431","2.1709769","203"
"41.3817446","2.1700772","203"
"41.3637506","2.1520832","202"
"41.3718479","2.1493841","202"
"41.3970395","2.1637793","202"
"41.4096353","2.2195607","201"
"41.3781458","2.1871715","201"
"41.3682491","2.1529829","201"
"41.383544","2.1682778","200"
"41.3763464","2.1781745","200"
"41.3862431","2.1655787","200"
"41.4024377","2.1745757","199"
"41.3907416","2.1682778","197"
"41.3808449","2.1700772","196"
"41.3880425","2.1880712","196"
"41.3907416","2.1637793","195"
"41.36555","2.155682","194"
"41.3808449","2.1718766","193"
"41.3754467","2.173676","192"
"41.4141338","2.1511835","192"
"41.4159332","2.1511835","192"
"41.3808449","2.182673","192"
"41.3907416","2.1673781","191"
"41.3709482","2.1718766","191"
"41.3853434","2.1808736","191"
"41.3961398","2.1592808","190"
"41.3853434","2.1781745","190"
"41.3853434","2.1718766","189"
"41.3907416","2.1700772","189"
"41.3916413","2.1709769","189"
"41.3817446","2.1817733","188"
"41.437526","2.1691775","188"
"41.383544","2.1178946","187"
"41.410535","2.2204604","186"
"41.3862431","2.1673781","186"
"41.3646503","2.1502838","185"
"41.3763464","2.1799739","185"
"41.3772461","2.182673","183"
"41.3790455","2.1808736","182"
"41.3898419","2.164679","182"
"41.4123344","2.1745757","180"
"41.3898419","2.1664784","180"
"41.3763464","2.1439859","179"
"41.3943404","2.1628796","178"
"41.4132341","2.1745757","178"
"41.374547","2.1817733","177"
"41.4114347","2.2195607","176"
"41.3781458","2.1754754","176"
"41.3871428","2.1673781","175"
"41.3889422","2.1673781","175"
"41.4033374","2.1565817","174"
"41.3826443","2.1754754","172"
"41.401538","2.1565817","172"
"41.3898419","2.1781745","172"
"41.392541","2.1673781","172"
"41.3862431","2.1718766","171"
"41.383544","2.1799739","170"
"41.3763464","2.1835727","170"
"41.392541","2.1655787","169"
"41.3844437","2.1790742","168"
"41.3961398","2.2033661","168"
"41.374547","2.1502838","168"
"41.3664497","2.1808736","167"
"41.3763464","2.1907703","167"
"41.3997386","2.1691775","166"
"41.4177326","2.1475847","164"
"41.3871428","2.1907703","164"
"41.3862431","2.1745757","164"
"41.3754467","2.1349889","164"
"41.3781458","2.1700772","164"
"41.3889422","2.1718766","163"
"41.3898419","2.1700772","162"
"41.3808449","2.1772748","162"
"41.3898419","2.1727763","161"
"41.3871428","2.1808736","161"
"41.3943404","2.1934694","161"
"41.3988389","2.1502838","160"
"41.3889422","2.1700772","160"
"41.3961398","2.1682778","160"
"41.3970395","2.1610802","159"
"41.3709482","2.1565817","159"
"41.3727476","2.1511835","159"
"41.4258299","2.164679","159"
"41.3790455","2.1790742","159"
"41.3808449","2.1853721","158"
"41.3799452","2.1763751","158"
"41.3844437","2.1700772","157"
"41.3943404","2.1493841","157"
"41.3817446","2.1754754","156"
"41.410535","2.1367883","156"
"41.3880425","2.1907703","155"
"41.3691488","2.1790742","155"
"41.3754467","2.1808736","155"
"41.3628509","2.1664784","155"
"41.3808449","2.155682","154"
"41.3862431","2.1772748","153"
"41.3970395","2.1943691","153"
"41.410535","2.2231595","153"
"41.3781458","2.19167","152"
"41.3898419","2.1853721","152"
"41.3646503","2.1520832","152"
"41.4042371","2.1763751","151"
"41.3817446","2.1763751","150"
"41.3889422","2.1853721","150"
"41.3853434","2.1970682","150"
"41.4060365","2.1232928","150"
"41.3637506","2.1673781","150"
"41.3817446","2.1223931","149"
"41.3034707","2.0774081","149"
"41.3754467","2.1700772","149"
"41.3871428","2.1898706","149"
"41.3898419","2.1367883","149"
"41.3718479","2.1583811","148"
"41.3853434","2.1637793","148"
"41.4141338","2.1772748","148"
"41.4033374","2.1952688","148"
"41.3727476","2.1493841","147"
"41.3871428","2.1637793","147"
"41.3799452","2.1898706","146"
"41.3736473","2.1511835","146"
"41.4078359","2.2177613","146"
"41.3763464","2.1790742","146"
"41.3943404","2.1844724","145"
"41.3736473","2.1781745","145"
"41.3997386","2.1700772","145"
"41.3700485","2.1529829","145"
"41.410535","2.2267583","143"
"41.3889422","2.173676","143"
"41.3772461","2.1907703","143"
"41.3880425","2.1835727","142"
"41.3790455","2.1718766","142"
"41.3844437","2.1844724","141"
"41.3997386","2.1682778","141"
"41.4033374","2.1340892","141"
"41.4033374","2.1583811","141"
"41.3952401","2.1484844","141"
"41.3808449","2.1331895","140"
"41.3862431","2.1979679","140"
"41.3808449","2.1682778","139"
"41.3889422","2.1727763","139"
"41.3952401","2.1727763","139"
"41.3718479","2.1520832","139"
"41.3871428","2.1871715","139"
"41.3889422","2.1664784","139"
"41.3853434","2.1952688","138"
"41.4123344","2.2240592","138"
"41.3673494","2.1682778","137"
"41.3853434","2.164679","137"
"41.4114347","2.173676","137"
"41.3862431","2.1754754","137"
"41.3790455","2.1691775","137"
"41.3880425","2.1862718","137"
"41.374547","2.1484844","137"
"41.4033374","2.1601805","136"
"41.383544","2.1952688","136"
"41.3691488","2.1592808","135"
"41.3871428","2.19167","135"
"41.3628509","2.1673781","135"
"41.3754467","2.1907703","135"
"41.3844437","2.1673781","135"
"41.4114347","2.2267583","134"
"41.4114347","2.2204604","134"
"41.3934407","2.1637793","133"
"41.3754467","2.1898706","132"
"41.3736473","2.173676","132"
"41.374547","2.1529829","131"
"41.3871428","2.1655787","131"
"41.401538","2.1538826","131"
"41.3502551","2.128691","131"
"41.3754467","2.1457853","130"
"41.3853434","2.1835727","130"
"41.3781458","2.0873048","130"
"41.4042371","2.155682","130"
"41.4051368","2.1574814","130"
"41.3934407","2.1619799","130"
"41.3862431","2.1682778","129"
"41.392541","2.1592808","129"
"41.4087356","2.1871715","129"
"41.4042371","2.1853721","129"
"41.3583524","2.1043991","129"
"41.3799452","2.1448856","128"
"41.392541","2.173676","128"
"41.383544","2.173676","128"
"41.3772461","2.1718766","128"
"41.4033374","2.1520832","127"
"41.4267296","2.2348556","127"
"41.3880425","2.1853721","127"
"41.3799452","2.182673","126"
"41.3691488","2.1628796","126"
"41.3853434","2.1754754","126"
"41.3691488","2.1493841","126"
"41.3826443","2.1655787","125"
"41.374547","2.1754754","125"
"41.3763464","2.1844724","125"
"41.3916413","2.1808736","125"
"41.3862431","2.1808736","125"
"41.401538","2.1979679","125"
"41.3979392","2.1583811","124"
"41.3862431","2.1898706","124"
"41.3853434","2.1817733","124"
"41.3979392","2.1682778","123"
"41.3646503","2.1547823","123"
"41.3790455","2.173676","123"
"41.3772461","2.1322898","123"
"41.3916413","2.2042658","122"
"41.3808449","2.1817733","122"
"41.3934407","2.1412868","122"
"41.3763464","2.1691775","122"
"41.3952401","2.1583811","122"
"41.3898419","2.1718766","121"
"41.374547","2.1745757","121"
"41.3943404","2.1718766","121"
"41.3817446","2.1898706","121"
"41.3970395","2.1592808","120"
"41.3826443","2.1682778","120"
"41.401538","2.1682778","120"
"41.4150335","2.1502838","120"
"41.3961398","2.2105637","120"
"41.3898419","2.1619799","120"
"41.4033374","2.1619799","120"
"41.3772461","2.1772748","119"
"41.3880425","2.1889709","119"
"41.3736473","2.1880712","119"
"41.4222311","2.0738093","119"
"41.3862431","2.1970682","119"
"41.4114347","2.227658","119"
"41.4087356","2.1475847","119"
"41.3736473","2.1655787","118"
"41.4348269","2.0738093","118"
"41.3664497","2.1277913","117"
"41.4033374","2.1790742","117"
"41.3817446","2.1232928","116"
"41.3790455","2.1925697","116"
"41.3979392","2.1637793","115"
"41.3880425","2.164679","115"
"41.3934407","2.1079979","115"
"41.3826443","2.1727763","115"
"41.3871428","2.164679","115"
"41.3763464","2.1502838","115"
"41.3808449","2.1241925","115"
"41.3808449","2.1898706","115"
"41.3952401","2.1709769","114"
"41.3817446","2.1799739","114"
"41.3628509","2.1655787","114"
"41.3817446","2.182673","114"
"41.3601518","2.0612135","114"
"41.3844437","2.1664784","113"
"41.3853434","2.1790742","113"
"41.3754467","2.1817733","113"
"41.3853434","2.1799739","112"
"41.4123344","2.1520832","112"
"41.3718479","2.1709769","112"
"41.3943404","2.1601805","111"
"41.3907416","2.2060652","111"
"41.3844437","2.1799739","110"
"41.4123344","2.2213601","110"
"41.3808449","2.1934694","110"
"41.3754467","2.1502838","109"
"41.3889422","2.1871715","109"
"41.3691488","2.1538826","109"
"41.3889422","2.1835727","109"
"41.3853434","2.1682778","108"
"41.3871428","2.1853721","108"
"41.3763464","2.083706","108"
"41.3952401","2.1628796","108"
"41.4267296","2.227658","108"
"41.3709482","2.1727763","107"
"41.3880425","2.1925697","107"
"41.3961398","2.1610802","107"
"41.3673494","2.1520832","107"
"41.4096353","2.1529829","107"
"41.3772461","2.1835727","107"
"41.3916413","2.1619799","106"
"41.4033374","2.1943691","106"
"41.3754467","2.1763751","106"
"41.3790455","2.164679","105"
"41.3916413","2.1664784","105"
"41.3772461","2.19167","105"
"41.3790455","2.1403871","105"
"41.3880425","2.1745757","105"
"41.3772461","2.0846057","104"
"41.3853434","2.1745757","104"
"41.410535","2.2195607","104"
"41.4213314","2.1187943","104"
"41.3898419","2.1772748","104"
"41.3853434","2.1673781","104"
"41.3862431","2.1817733","103"
"41.374547","2.1673781","103"
"41.3637506","2.1061985","102"
"41.4114347","2.1133961","102"
"41.3790455","2.1871715","101"
"41.4123344","2.2249589","101"
"41.3691488","2.1484844","101"
"41.3952401","2.1601805","101"
"41.3808449","2.1763751","101"
"41.4033374","2.1880712","101"
"41.3817446","2.1745757","101"
"41.3871428","2.1322898","100"
"41.4024377","2.1718766","100"
"41.3970395","2.1907703","100"
"41.3844437","2.1052988","100"
"41.3592521","2.0612135","99"
"41.4348269","2.1475847","99"
"41.3637506","2.155682","99"
"41.3943404","2.1511835","99"
"41.4222311","2.119694","99"
"41.3736473","2.1772748","99"
"41.3619512","2.1052988","99"
"41.3619512","2.1583811","98"
"41.3844437","2.1691775","98"
"41.4339272","2.19167","98"
"41.3898419","2.1709769","98"
"41.4078359","2.1403871","97"
"41.4123344","2.2204604","97"
"41.3646503","2.1529829","97"
"41.4033374","2.1934694","97"
"41.3952401","2.1574814","97"
"41.4006383","2.1547823","96"
"41.3052701","2.1079979","96"
"41.3871428","2.1970682","96"
"41.3916413","2.1772748","96"
"41.4132341","2.1511835","96"
"41.3934407","2.1529829","95"
"41.4204317","2.0945024","95"
"41.3646503","2.0621132","95"
"41.3691488","2.164679","95"
"41.3790455","2.0963018","95"
"41.383544","2.1898706","95"
"41.3826443","2.1709769","95"
"41.3799452","2.1790742","95"
"41.3997386","2.1853721","95"
"41.3772461","2.173676","95"
"41.3700485","2.1511835","94"
"41.3880425","2.1961685","94"
"41.3763464","2.1214934","94"
"41.4348269","2.1340892","94"
"41.3826443","2.1853721","94"
"41.3853434","2.1628796","94"
"41.4078359","2.1502838","94"
"41.3979392","2.1574814","94"
"41.3799452","2.1817733","94"
"41.3691488","2.0963018","94"
"41.3853434","2.182673","94"
"41.3781458","2.1799739","94"
"41.4159332","2.1493841","94"
"41.4006383","2.2141625","93"
"41.3898419","2.1340892","93"
"41.4159332","2.227658","93"
"41.3907416","2.1502838","93"
"41.3808449","2.1781745","93"
"41.3700485","2.1484844","93"
"41.4087356","2.2195607","92"
"41.3799452","2.1925697","92"
"41.3817446","2.1952688","92"
"41.4123344","2.2294574","92"
"41.3547536","2.1313901","92"
"41.3844437","2.173676","91"
"41.4087356","2.1772748","91"
"41.3826443","2.1790742","91"
"41.3547536","2.1295907","91"
"41.3772461","2.1790742","91"
"41.401538","2.146685","90"
"41.3862431","2.1799739","90"
"41.3862431","2.1763751","90"
"41.3862431","2.1412868","90"
"41.4177326","2.1340892","90"
"41.4042371","2.1889709","90"
"41.3844437","2.1961685","90"
"41.3979392","2.1628796","90"
"41.3808449","2.1799739","88"
"41.4231308","2.1583811","88"
"41.3844437","2.1997673","88"
"41.3817446","2.1943691","88"
"41.428529","2.1781745","88"
"41.3808449","2.1889709","88"
"41.3988389","2.1358886","88"
"41.3997386","2.1808736","88"
"41.3727476","2.1628796","88"
"41.3790455","2.1628796","88"
"41.4033374","2.164679","87"
"41.3988389","2.1547823","87"
"41.3781458","2.1763751","87"
"41.4132341","2.173676","87"
"41.428529","2.1502838","87"
"41.3646503","2.1538826","87"
"41.3754467","2.182673","87"
"41.3907416","2.164679","87"
"41.374547","2.1763751","87"
"41.3727476","2.1673781","87"
"41.3862431","2.1889709","87"
"41.374547","2.1889709","86"
"41.3772461","2.1709769","86"
"41.3754467","2.1889709","86"
"41.383544","2.1691775","86"
"41.3970395","2.1898706","86"
"41.3646503","2.1511835","85"
"41.3907416","2.1691775","85"
"41.3808449","2.1088976","85"
"41.4033374","2.1502838","85"
"41.3880425","2.1844724","85"
"41.4168329","2.1520832","85"
"41.3736473","2.1763751","85"
"41.3889422","2.1763751","84"
"41.3871428","2.1952688","84"
"41.3691488","2.1898706","84"
"41.3772461","2.1799739","84"
"41.4078359","2.1628796","84"
"41.3844437","2.1835727","84"
"41.383544","2.1628796","84"
"41.4258299","2.1790742","83"
"41.3988389","2.1853721","83"
"41.4060365","2.1934694","83"
"41.3844437","2.1970682","83"
"41.3880425","2.1169949","83"
"41.4051368","2.1862718","83"
"41.3961398","2.155682","83"
"41.3880425","2.1655787","83"
"41.4114347","2.2285577","83"
"41.3790455","2.1763751","83"
"41.3682491","2.1592808","83"
"41.4024377","2.1547823","82"
"41.3871428","2.1718766","82"
"41.3637506","2.164679","82"
"41.410535","2.1745757","82"
"41.3961398","2.2078646","82"
"41.3826443","2.1700772","82"
"41.3880425","2.173676","82"
"41.4078359","2.2015667","82"
"41.3547536","2.1304904","82"
"41.4123344","2.1313901","82"
"41.419532","2.1619799","81"
"41.3754467","2.1754754","81"
"41.401538","2.1673781","81"
"41.4330275","2.2384544","81"
"41.4141338","2.1394874","81"
"41.3763464","2.1763751","81"
"41.3772461","2.1700772","81"
"41.3961398","2.1619799","81"
"41.4033374","2.2132628","81"
"41.3880425","2.1970682","81"
"41.4096353","2.2240592","80"
"41.3907416","2.1610802","80"
"41.4357266","2.19167","80"
"41.4213314","2.1205937","80"
"41.3808449","2.1790742","80"
"41.4060365","2.1601805","80"
"41.4096353","2.155682","80"
"41.3916413","2.1889709","80"
"41.3862431","2.1988676","80"
"41.4069362","2.1934694","79"
"41.3970395","2.1700772","79"
"41.3727476","2.1664784","79"
"41.3664497","2.1160952","79"
"41.3862431","2.1790742","79"
"41.36555","2.1565817","79"
"41.4006383","2.182673","78"
"41.3709482","2.1673781","78"
"41.3997386","2.1772748","78"
"41.3934407","2.1592808","78"
"41.3862431","2.1565817","78"
"41.3898419","2.200667","78"
"41.3943404","2.1709769","78"
"41.383544","2.1133961","78"
"41.3979392","2.1853721","78"
"41.3997386","2.1610802","78"
"41.3727476","2.1880712","78"
"41.3961398","2.1124964","77"
"41.3781458","2.1412868","77"
"41.3934407","2.1727763","77"
"41.4114347","2.2240592","77"
"41.3853434","2.1889709","76"
"41.3970395","2.164679","76"
"41.4033374","2.1574814","76"
"41.3799452","2.1673781","76"
"41.3556533","2.0639126","75"
"41.4213314","2.2240592","75"
"41.4348269","2.110697","75"
"41.4024377","2.1880712","75"
"41.3826443","2.1817733","75"
"41.3862431","2.1943691","75"
"41.4006383","2.1601805","74"
"41.3727476","2.1790742","74"
"41.3799452","2.1862718","74"
"41.4006383","2.155682","74"
"41.3826443","2.1808736","74"
"41.401538","2.1610802","74"
"41.3871428","2.1178946","74"
"41.4051368","2.1745757","74"
"41.3907416","2.1817733","74"
"41.3718479","2.1502838","73"
"41.3889422","2.1817733","73"
"41.3961398","2.1691775","73"
"41.3898419","2.1817733","73"
"41.3817446","2.1682778","73"
"41.3943404","2.2069649","72"
"41.4096353","2.1268916","72"
"41.3970395","2.1673781","72"
"41.3979392","2.19167","72"
"41.3790455","2.1727763","72"
"41.3610515","2.155682","72"
"41.3826443","2.182673","72"
"41.3781458","2.146685","72"
"41.3754467","2.1835727","72"
"41.3763464","2.182673","72"
"41.3826443","2.1835727","71"
"41.3799452","2.1223931","71"
"41.4069362","2.1610802","71"
"41.3934407","2.1601805","71"
"41.3970395","2.1574814","71"
"41.3781458","2.1808736","70"
"41.392541","2.1439859","70"
"41.3889422","2.1655787","70"
"41.3943404","2.2060652","70"
"41.3916413","2.1574814","69"
"41.3898419","2.2015667","69"
"41.3808449","2.1835727","69"
"41.3709482","2.1817733","69"
"41.3700485","2.1718766","69"
"41.3844437","2.1727763","69"
"41.3916413","2.1781745","69"
"41.4123344","2.2177613","69"
"41.3844437","2.1655787","69"
"41.3952401","2.1385877","68"
"41.3637506","2.1502838","68"
"41.3844437","2.1952688","68"
"41.3736473","2.1637793","68"
"41.3943404","2.1970682","68"
"41.3826443","2.1943691","68"
"41.3736473","2.1673781","68"
"41.3772461","2.1574814","68"
"41.3988389","2.1700772","68"
"41.3889422","2.1628796","68"
"41.3826443","2.1142958","68"
"41.4177326","2.1448856","67"
"41.3934407","2.1178946","67"
"41.3961398","2.182673","67"
"41.4042371","2.1898706","67"
"41.3853434","2.1853721","67"
"41.3790455","2.1394874","67"
"41.3889422","2.1637793","67"
"41.3862431","2.1664784","67"
"41.3808449","2.1844724","67"
"41.3817446","2.1808736","66"
"41.4168329","2.19167","66"
"41.3997386","2.1718766","66"
"41.3934407","2.1889709","66"
"41.3664497","2.1691775","66"
"41.392541","2.2051655","66"
"41.3808449","2.1205937","66"
"41.374547","2.1907703","66"
"41.3889422","2.1934694","66"
"41.3619512","2.1574814","65"
"41.383544","2.19167","65"
"41.3790455","2.1709769","65"
"41.3799452","2.1835727","65"
"41.4123344","2.173676","65"
"41.3799452","2.1727763","65"
"41.3799452","2.1799739","65"
"41.3880425","2.1124964","65"
"41.3718479","2.1799739","65"
"41.3799452","2.1808736","65"
"41.3799452","2.1205937","64"
"41.3997386","2.1583811","64"
"41.3781458","2.1322898","64"
"41.3979392","2.173676","64"
"41.3736473","2.1898706","64"
"41.4186323","2.1340892","64"
"41.3772461","2.1880712","64"
"41.3898419","2.1871715","63"
"41.3781458","2.1835727","63"
"41.4150335","2.155682","63"
"41.4078359","2.1493841","63"
"41.3628509","2.1574814","63"
"41.4033374","2.1718766","63"
"41.3052701","2.1241925","63"
"41.4033374","2.1538826","63"
"41.3844437","2.1637793","62"
"41.3871428","2.1979679","62"
"41.3889422","2.1133961","62"
"41.3619512","2.1637793","62"
"41.3916413","2.1628796","62"
"41.401538","2.1745757","62"
"41.4033374","2.1871715","62"
"41.4033374","2.155682","62"
"41.4024377","2.1484844","61"
"41.3763464","2.1754754","61"
"41.392541","2.1412868","61"
"41.3799452","2.1232928","61"
"41.3817446","2.1781745","61"
"41.4087356","2.2249589","61"
"41.3673494","2.1691775","61"
"41.3610515","2.1574814","61"
"41.3799452","2.1412868","61"
"41.383544","2.1700772","60"
"41.3862431","2.155682","60"
"41.3889422","2.1880712","60"
"41.3817446","2.1259919","60"
"41.4159332","2.1313901","60"
"41.3781458","2.1709769","60"
"41.3790455","2.1835727","60"
"41.3871428","2.1862718","60"
"41.3799452","2.1682778","60"
"41.4168329","2.1799739","60"
"41.3961398","2.1583811","60"
"41.3979392","2.1709769","59"
"41.3628509","2.1538826","59"
"41.410535","2.218661","59"
"41.3709482","2.1574814","59"
"41.4087356","2.1115967","59"
"41.3997386","2.1664784","59"
"41.3754467","2.1565817","59"
"41.3466563","2.0666117","59"
"41.4006383","2.1619799","59"
"41.3853434","2.1727763","59"
"41.4141338","2.1295907","59"
"41.36555","2.1547823","59"
"41.383544","2.1160952","59"
"41.3970395","2.1439859","59"
"41.3556533","2.0711102","59"
"41.4024377","2.1619799","59"
"41.392541","2.1718766","59"
"41.3853434","2.1655787","59"
"41.3799452","2.1700772","58"
"41.3808449","2.1943691","58"
"41.4303284","2.1700772","58"
"41.3934407","2.1763751","58"
"41.3673494","2.0990009","58"
"41.3808449","2.1808736","58"
"41.36555","2.1538826","58"
"41.4069362","2.1529829","58"
"41.4078359","2.1583811","58"
"41.3943404","2.1907703","58"
"41.3754467","2.1673781","58"
"41.4033374","2.146685","57"
"41.3853434","2.1943691","57"
