"user_id","total_pictures"
"97321708@N07","300"
"7820675@N03","299"
"26061368@N05","297"
"8951720@N04","294"
"51758913@N05","294"
"42835705@N00","293"
"80206496@N00","292"
"10065047@N00","291"
"39082489@N00","290"
"81788993@N00","288"
"24458636@N00","288"
"7929723@N07","287"
"92402547@N00","284"
"55288614@N05","283"
"54758495@N00","282"
"85445165@N00","280"
"87762368@N00","280"
"91162985@N00","278"
"26095975@N00","276"
"46339941@N00","276"
"21207632@N06","276"
"71214830@N00","275"
"40822852@N07","274"
"98153629@N00","272"
"35610348@N02","271"
"20876198@N00","269"
"38624633@N00","269"
"54581272@N03","268"
"49507498@N00","266"
"53808741@N07","266"
"30806197@N02","264"
"107053852@N04","263"
"16652278@N00","262"
"56300993@N07","262"
"74743437@N00","261"
"9087199@N03","261"
"24776236@N00","260"
"65265630@N03","257"
"56053642@N00","257"
"32949699@N00","256"
"53346833@N00","255"
"48087087@N00","254"
"82246897@N00","252"
"56541240@N00","252"
"43513306@N00","249"
"48999318@N00","248"
"50694084@N02","248"
"35722886@N08","247"
"8453839@N03","247"
"10585427@N00","246"
"26834951@N00","243"
"11919328@N00","242"
"11090221@N04","242"
"77168304@N00","242"
"46195075@N08","241"
"25547975@N06","241"
"37996646802@N01","239"
"65107251@N00","238"
"14485539@N00","238"
"63315403@N00","237"
"57449260@N00","236"
"25039539@N05","234"
"14187551@N04","234"
"22662305@N04","233"
"18580415@N04","233"
"58849843@N07","231"
"70105429@N00","231"
"53568404@N00","231"
"67308692@N04","231"
"69875617@N00","230"
"25867533@N07","230"
"85976263@N00","228"
"21834554@N02","228"
"79059079@N00","227"
"67411163@N00","226"
"10297518@N00","226"
"32996060@N05","225"
"8159658@N04","224"
"91515119@N00","224"
"68301894@N08","224"
"53878557@N00","224"
"11468468@N00","223"
"48538430@N07","223"
"94064020@N00","220"
"28595835@N00","219"
"23611129@N00","218"
"32332355@N08","218"
"47379538@N00","218"
"62447310@N02","218"
"38304866@N00","217"
"35998644@N00","216"
"81882815@N00","216"
"7595390@N06","216"
"31624444@N04","216"
"96863630@N00","215"
"25381422@N03","215"
"25095498@N03","214"
"69987244@N00","214"
"22654811@N02","214"
"25626268@N00","214"
"27566921@N00","213"
"97733778@N07","212"
"37935394@N00","211"
"82647996@N00","211"
"8386077@N04","211"
"30274516@N00","210"
"32744903@N00","210"
"82304216@N00","210"
"27439865@N05","209"
"68612582@N00","209"
"10226584@N06","209"
"92474008@N00","208"
"96406524@N07","208"
"93382693@N00","208"
"10907058@N05","206"
"92591068@N00","206"
"25535162@N02","205"
"41610421@N05","205"
"15973578@N00","203"
"85124698@N00","203"
"92996378@N00","203"
"65139468@N00","201"
"24144028@N00","199"
"75249262@N08","198"
"33014459@N02","196"
"50939846@N00","195"
"32437467@N00","195"
"87285231@N04","192"
"16233738@N00","191"
"12988352@N00","191"
"61682420@N00","189"
"28401752@N00","189"
"43629106@N06","189"
"89027534@N00","189"
"47565600@N00","188"
"10012675@N05","187"
"45854097@N00","187"
"12265491@N06","187"
"42619839@N00","187"
"43212058@N02","186"
"47117845@N00","185"
"46667416@N00","185"
"8706116@N08","184"
"30760938@N06","184"
"47155863@N00","184"
"99295419@N00","183"
"34515815@N00","183"
"7480519@N07","182"
"84826191@N00","182"
"81126501@N00","182"
"35586609@N06","181"
"72591459@N00","180"
"51513413@N02","179"
"7387144@N03","178"
"28518193@N07","177"
"9808711@N04","177"
"14057878@N00","177"
"90867771@N00","176"
"67342107@N00","176"
"85242847@N00","176"
"14444494@N05","175"
"24657811@N00","175"
"12448900@N04","174"
"76863748@N00","174"
"79992665@N00","174"
"9807033@N05","173"
"28561655@N00","173"
"84938294@N00","173"
"60201471@N02","172"
"32192899@N06","172"
"48363164@N03","172"
"36477743@N06","172"
"11217060@N02","171"
"60596479@N03","171"
"74689934@N00","171"
"97682595@N00","170"
"17965328@N00","170"
"71256895@N00","170"
"68169058@N00","170"
"25899413@N04","169"
"63633763@N00","169"
"68777574@N00","168"
"51699823@N00","168"
"81243729@N00","167"
"66995057@N00","167"
"35387329@N00","167"
"56548883@N03","167"
"31393298@N03","166"
"24224837@N02","166"
"8734876@N07","166"
"77712728@N00","166"
"10263754@N00","165"
"28558796@N08","165"
"35685633@N08","165"
"28238346@N00","165"
"22383910@N06","165"
"36553196@N08","164"
"8143864@N07","164"
"20449157@N00","163"
"58711569@N00","163"
"88213375@N00","162"
"44347125@N00","161"
"35313497@N05","161"
"8890075@N04","161"
"33364237@N08","160"
"13522141@N08","160"
"80633094@N00","160"
"11111170@N04","160"
"57793702@N04","159"
"29954226@N00","159"
"68192311@N00","159"
"23260690@N06","159"
"17963290@N00","159"
"10974123@N00","158"
"25455661@N00","158"
"32652618@N00","158"
"22565784@N02","158"
"7371031@N08","157"
"69733618@N00","157"
"25424795@N03","157"
"43582668@N00","157"
"36484111@N00","157"
"25813335@N00","156"
"40792346@N00","156"
"86134718@N00","155"
"26813293@N05","155"
"9379826@N07","154"
"59964550@N00","154"
"35852106@N00","153"
"46465391@N08","152"
"57193018@N07","152"
"27756215@N00","152"
"25618850@N07","152"
"90855177@N00","151"
"45325236@N00","151"
"7669837@N08","151"
"37902992@N06","151"
"23896391@N02","150"
"49253769@N05","150"
"46796298@N04","150"
"7691131@N06","149"
"81848377@N00","149"
"72115265@N00","148"
"8616953@N04","148"
"97023479@N08","148"
"61346887@N05","147"
"8327383@N02","147"
"52364154@N07","147"
"36587857@N03","146"
"45975345@N00","146"
"7183730@N06","146"
"18432837@N00","146"
"14261684@N08","146"
"7436379@N03","146"
"9423727@N02","146"
"8511168@N07","146"
"22214399@N06","145"
"65842302@N05","145"
"42201710@N07","145"
"51585940@N07","145"
"32344690@N00","145"
"23435373@N00","144"
"44929385@N00","144"
"53958353@N05","144"
"96684313@N00","144"
"75097261@N00","144"
"44124400268@N01","144"
"8744852@N03","143"
"68937570@N00","142"
"39103972@N00","142"
"60818342@N00","142"
"31397424@N00","141"
"51460004@N03","141"
"41403099@N00","141"
"11318900@N04","140"
"76664011@N00","140"
"30649186@N05","139"
"19268623@N00","139"
"28785978@N07","139"
"99015631@N00","139"
"48404658@N00","139"
"36307913@N00","138"
"15808190@N00","138"
"23054191@N00","137"
"55059753@N00","137"
"67025584@N00","137"
"34329139@N00","137"
"63796164@N00","137"
"9565858@N06","137"
"87632681@N00","137"
"87733407@N00","137"
"70985593@N00","137"
"7848274@N04","136"
"63169325@N06","136"
"9633002@N05","136"
"49502979506@N01","136"
"9341853@N08","135"
"14123175@N00","135"
"27899690@N05","135"
"17997014@N00","134"
"26478641@N06","134"
"10471642@N04","133"
"76474448@N00","133"
"27454212@N00","133"
"54949957@N00","132"
"15205669@N07","132"
"57954193@N00","132"
"65677753@N00","132"
"27082909@N00","132"
"73063897@N00","132"
"96120381@N04","131"
"19299399@N00","131"
"95484254@N00","129"
"29120766@N07","129"
"35333224@N05","129"
"42878020@N03","129"
"38301609@N02","129"
"54829270@N00","129"
"90849172@N00","128"
"83413148@N00","128"
"90715281@N00","128"
"47267169@N05","128"
"70961014@N00","127"
"42311564@N00","127"
"25836399@N06","127"
"80018025@N00","127"
"96978528@N04","126"
"47052616@N00","126"
"7552795@N03","126"
"71774264@N00","125"
"61508583@N02","125"
"77704116@N00","125"
"97093770@N00","125"
"58606343@N07","124"
"98999190@N00","124"
"47623495@N02","124"
"40999618@N05","124"
"91558571@N00","124"
"63623742@N05","124"
"14004163@N03","123"
"99145208@N00","123"
"88333292@N07","123"
"95842518@N00","123"
"7613626@N02","123"
"69585692@N00","123"
"73293249@N00","123"
"22117717@N02","123"
"86587419@N00","123"
"14228046@N03","123"
"25653648@N08","122"
"71088526@N00","122"
"55614682@N05","122"
"41838028@N00","121"
"51146858@N04","121"
"47868453@N06","121"
"70938076@N00","120"
"23273419@N00","120"
"27923502@N00","120"
"47388991@N00","120"
"51035647214@N01","120"
"69349066@N00","119"
"38499250@N08","119"
"34866392@N04","119"
"63847205@N00","118"
"7815999@N04","118"
"15889861@N00","118"
"8166707@N06","118"
"49966701@N00","118"
"16995443@N03","118"
"14429081@N00","118"
"30709982@N00","118"
"72295842@N00","118"
"35165900@N00","117"
"15131954@N08","117"
"33665358@N00","117"
"75632269@N00","117"
"90493526@N00","117"
"17267678@N00","117"
"98318718@N00","117"
"46315235@N00","117"
"19824957@N00","117"
"27758558@N00","117"
"11033219@N06","117"
"28564003@N00","117"
"44756385@N00","117"
"39837166@N00","117"
"12365472@N08","116"
"47614548@N00","116"
"26849121@N02","116"
"19757730@N00","116"
"56623901@N00","116"
"20918261@N00","116"
"39513725@N02","115"
"77739593@N00","115"
"93525584@N00","115"
"31925743@N00","115"
"35069660@N00","115"
"49317811@N08","114"
"95614423@N00","114"
"27703797@N06","113"
"42059681@N06","113"
"83727590@N00","113"
"9666833@N07","113"
"47682114@N00","113"
"38027903@N02","113"
"65314275@N04","113"
"87691509@N00","112"
"73364264@N00","112"
"11962592@N00","112"
"34882826@N07","112"
"75334792@N00","112"
"78656894@N00","112"
"10359468@N08","111"
"86182275@N00","111"
"50732175@N00","111"
"8783296@N05","111"
"94367514@N00","111"
"22443621@N00","111"
"76196395@N00","111"
"53124293@N00","111"
"73930762@N04","110"
"84558434@N00","110"
"36521966221@N01","110"
"40286210@N00","110"
"96116162@N00","110"
"29982308@N00","110"
"21444820@N02","109"
"20702125@N05","109"
"14643779@N02","109"
"19942824@N00","109"
"91748271@N00","108"
"7753843@N02","108"
"48202366@N00","108"
"89853750@N00","107"
"86993416@N00","107"
"63766299@N00","107"
"69746211@N05","106"
"46936561@N00","106"
"22841923@N02","106"
"20316292@N05","106"
"88123195@N00","106"
"73733967@N02","105"
"42270690@N05","105"
"54549576@N00","105"
"37581231@N00","105"
"35564889@N07","105"
"84396514@N03","105"
"15739545@N00","105"
"26036542@N00","104"
"29972954@N08","104"
"13920445@N06","104"
"38193766@N08","104"
"23314754@N07","104"
"9946403@N05","104"
"83579729@N00","103"
"86315917@N00","103"
"46774986@N02","103"
"52042477@N00","103"
"80843256@N00","103"
"60757641@N06","103"
"11100272@N03","103"
"51727341@N00","103"
"19288070@N03","102"
"22929959@N00","102"
"55872374@N00","102"
"77696759@N00","102"
"8168193@N02","102"
"79432268@N00","102"
"23090753@N06","102"
"10373806@N05","102"
"35935065@N00","102"
"30974609@N02","101"
"62197811@N00","101"
"25093253@N05","101"
"54378566@N00","101"
"44498274@N05","101"
"16671677@N00","101"
"63987290@N00","101"
"61595044@N02","100"
"43895508@N04","100"
"91252496@N00","100"
"69266879@N05","100"
"25631503@N03","100"
"32758111@N02","100"
"59637013@N07","100"
"22221168@N05","100"
"24728617@N04","99"
"33126074@N00","99"
"25353702@N02","99"
"15796713@N00","99"
"39049383@N00","99"
"26130006@N04","98"
"98472959@N00","98"
"85772145@N00","98"
"95674706@N00","98"
"28205996@N00","98"
"63912384@N00","98"
"47207654@N00","97"
"14490422@N02","97"
"7910061@N04","97"
"77711790@N00","97"
"43370110@N02","97"
"60894088@N00","97"
"42823270@N05","97"
"7587786@N05","97"
"10546451@N00","97"
"16199482@N06","96"
"29854345@N04","96"
"83432431@N00","96"
"63377625@N00","96"
"44601763@N02","96"
"42776461@N04","95"
"71983489@N00","95"
"27222320@N05","95"
"39643094@N03","95"
"55708201@N03","95"
"10932676@N04","95"
"76246763@N00","95"
"27131651@N00","94"
"18560756@N05","94"
"10368418@N03","94"
"23385510@N00","94"
"80313708@N00","94"
"9537143@N07","94"
"91034415@N00","94"
"76034236@N00","94"
"78986517@N00","94"
"42135092@N07","94"
"31043736@N00","93"
"37491178@N00","93"
"22474771@N06","93"
"89585721@N00","93"
"68493542@N00","92"
"8063328@N06","92"
"7745675@N02","92"
"62092813@N00","92"
"46102847@N08","92"
"8765969@N02","92"
"71286706@N00","92"
"19381311@N00","92"
"58809561@N07","92"
"59110314@N02","91"
"40463436@N00","91"
"29675285@N02","91"
"68835868@N00","91"
"96572712@N00","91"
"71317539@N05","91"
"34994230@N00","91"
"90516586@N00","91"
"73989573@N00","90"
"15352839@N00","90"
"38499140@N00","90"
"21007190@N05","90"
"63575784@N08","90"
"11554355@N00","90"
"23671122@N06","90"
"11637902@N07","90"
"49317808@N00","90"
"48881044@N00","90"
"54154809@N00","90"
"7897906@N06","90"
"30432630@N08","89"
"7805365@N02","89"
"48225806@N00","89"
"81669747@N00","89"
"87326847@N00","89"
"28928944@N03","88"
"22083482@N03","88"
"65512466@N00","88"
"35034354960@N01","88"
"77417077@N00","88"
"51035774131@N01","88"
"9532859@N02","88"
"27164521@N00","88"
"46941267@N05","87"
"22837887@N04","87"
"24805431@N08","87"
"8857520@N07","87"
"56951432@N00","87"
"91494608@N00","87"
"47912998@N00","87"
"81398303@N00","87"
"25263578@N07","87"
"67958110@N00","86"
"13478691@N03","86"
"7997397@N08","86"
"13798849@N00","86"
"49570307@N03","86"
"43288445@N00","86"
"47738675@N06","86"
"16880305@N03","86"
"23377996@N00","86"
"13302806@N06","86"
"69467450@N05","86"
"51015291@N00","86"
"32588838@N00","86"
"39939530@N00","86"
"41894197861@N01","86"
"10853120@N00","86"
"81118280@N00","85"
"62386605@N00","85"
"65244239@N00","85"
"44657369@N07","85"
"49247074@N05","85"
"44785398@N03","85"
"56579997@N00","85"
"92486987@N00","85"
"63384247@N00","85"
"34617864@N05","85"
"11256400@N06","84"
"38551575@N00","84"
"32444077@N00","84"
"80448317@N00","84"
"9154295@N04","84"
"63332724@N00","84"
"35034363039@N01","83"
"30456958@N00","83"
"59712996@N00","83"
"11768522@N06","83"
"88981134@N00","83"
"71657174@N00","83"
"12407639@N04","83"
"91043280@N00","83"
"47471211@N00","82"
"38233511@N05","82"
"11996138@N00","82"
"60099286@N00","82"
"33570277@N04","82"
"37387001@N02","82"
"43988000@N08","82"
"27232914@N05","81"
"12024547@N06","81"
"26233240@N00","81"
"18071609@N00","81"
"43554380@N00","81"
"28066281@N03","81"
"93362968@N00","81"
"9084427@N07","81"
"70544918@N00","81"
"13491639@N00","81"
"11462295@N00","81"
"35034360223@N01","81"
"49797085@N00","80"
"49813768@N00","80"
"24498866@N00","80"
"91809844@N08","80"
"75378192@N08","80"
"20453316@N08","80"
"27954114@N05","80"
"66626457@N04","79"
"15086444@N00","79"
"28299806@N07","79"
"64834051@N00","79"
"15617792@N04","79"
"21724165@N05","79"
"91605789@N00","79"
"24931987@N00","78"
"23473442@N03","78"
"7559746@N05","78"
"30460196@N03","78"
"92573775@N05","78"
"18633322@N00","78"
"31565537@N00","78"
"51000785@N08","78"
"76772343@N06","78"
"44962872@N00","78"
"55548179@N05","78"
"41922846@N05","77"
"26207806@N00","77"
"23420145@N07","77"
"63138086@N05","77"
"31817492@N00","77"
"56540909@N08","77"
"27788004@N02","77"
"79376123@N00","77"
"42207592@N00","77"
"48009694@N00","77"
"49615585@N00","76"
"43224524@N06","76"
"39615072@N06","76"
"9893763@N08","76"
"11414938@N00","75"
"52585003@N00","75"
"48168779@N05","75"
"12776592@N06","75"
"13125113@N06","75"
"84392959@N00","75"
"75467365@N00","75"
"14710614@N08","75"
"47287749@N03","75"
"88792132@N00","75"
"22539456@N03","75"
"17639367@N00","75"
"26195477@N00","75"
"65512851@N05","74"
"92903783@N00","74"
"25052789@N00","74"
"82725538@N05","74"
"18812013@N00","74"
"63429729@N00","74"
"7611243@N04","74"
"96196145@N00","74"
"9324699@N08","74"
"74105777@N00","74"
"97768382@N00","74"
"82932964@N00","73"
"71465443@N00","73"
"36713600@N00","73"
"60721972@N00","73"
"24298372@N04","73"
"54357435@N00","73"
"88275625@N02","73"
"52170719@N08","73"
"75012450@N00","72"
"11841413@N08","72"
"59252954@N00","72"
"29296369@N04","72"
"21293763@N03","72"
"44399660@N00","72"
"40955708@N04","72"
"84366764@N00","72"
"24424557@N00","72"
"61335192@N00","72"
"48877356@N00","72"
"42469324@N00","71"
"11513255@N00","71"
"36319399@N00","71"
"70522775@N00","71"
"7627644@N06","71"
"30698646@N05","71"
"21437097@N00","71"
"57251779@N00","71"
"7424389@N06","71"
"62606667@N04","71"
"56296907@N08","71"
"31736609@N07","71"
"55397047@N00","70"
"67766309@N04","70"
"24134779@N00","70"
"51168133@N00","70"
"23266521@N02","70"
"40451021@N07","70"
"43812360@N05","70"
"68515526@N08","70"
"33906305@N08","70"
"11029818@N05","70"
"71759066@N00","70"
"10902897@N00","70"
"62223880@N00","69"
"33788636@N03","69"
"33756516@N07","69"
"23459935@N06","69"
"71278200@N00","69"
"7972380@N05","69"
"59353887@N00","69"
"44347776@N00","69"
"91685781@N00","69"
"66436184@N00","68"
"80796765@N00","68"
"92358405@N05","68"
"9213235@N08","68"
"74726781@N00","68"
"23739340@N02","68"
"82732661@N00","68"
"60111909@N00","68"
"41663637@N00","68"
"46191841@N00","68"
"18826577@N00","68"
"7325248@N04","68"
"42139271@N00","68"
"62439258@N08","68"
"57604720@N00","68"
"90356931@N00","68"
"46958463@N06","68"
"24155278@N00","68"
"39097114@N00","67"
"69968481@N00","67"
"86159615@N00","67"
"83511983@N00","67"
"16446606@N07","67"
"26673055@N06","67"
"13289467@N00","67"
"69448853@N00","67"
"29142829@N00","67"
"28747427@N08","67"
"57299246@N00","67"
"94595697@N00","67"
"35468152591@N01","67"
"13112122@N00","67"
"25294611@N00","67"
"86401769@N00","67"
"52942259@N00","66"
"44253065@N00","66"
"67536509@N00","66"
"99188213@N00","66"
"16431247@N00","66"
"12368786@N06","66"
"29774263@N06","66"
"89904893@N00","66"
"23894994@N02","66"
"34298944@N00","66"
"13595478@N02","66"
"53976249@N04","66"
"71551312@N00","66"
"77133620@N00","66"
"58778543@N00","65"
"58322476@N00","65"
"62586117@N05","65"
"37996595541@N01","65"
"28640307@N05","65"
"53763120@N00","65"
"11956371@N07","65"
"16041363@N00","65"
"79634699@N00","65"
"48791007@N06","65"
"57722169@N00","65"
"68932647@N00","65"
"43316791@N00","65"
"9235704@N07","65"
"44672723@N00","65"
"44378953@N00","64"
"71606984@N00","64"
"42826854@N00","64"
"22103855@N03","64"
"24943311@N07","64"
"12754005@N00","64"
"42977341@N00","64"
"29712231@N00","64"
"29360156@N04","64"
"79847196@N00","64"
"39675221@N04","64"
"64636204@N00","64"
"26516928@N08","64"
"85067745@N00","64"
"56951871@N07","64"
"37883785@N00","64"
"24086895@N00","63"
"65796885@N00","63"
"36176156@N00","63"
"35098766@N08","63"
"54042861@N05","63"
"11150575@N04","63"
"64648807@N08","63"
"31622436@N00","63"
"37137447@N00","63"
"22103129@N02","63"
"54943216@N08","63"
"10913760@N04","63"
"26121750@N06","63"
"55108970@N00","62"
"40843215@N03","62"
"81838529@N00","62"
"67614763@N00","62"
"33831399@N04","62"
"84096608@N00","62"
"53527776@N00","62"
"81909633@N00","62"
"22872308@N00","62"
"73014677@N05","62"
"29883020@N07","62"
"37986087@N05","62"
"89519867@N03","62"
"81221437@N00","62"
"91391563@N00","62"
"32911485@N00","62"
"9662258@N02","62"
"7739465@N04","61"
"49503029779@N01","61"
"52494294@N00","61"
"54131563@N00","61"
"63994051@N00","61"
"10159442@N00","61"
"9016747@N03","61"
"14912166@N00","61"
"20483509@N00","61"
"9379802@N02","60"
"86595350@N00","60"
"37108530@N00","60"
"75506959@N02","60"
"87046204@N00","60"
"39812592@N03","60"
"33195821@N00","60"
"12295693@N04","60"
"70011449@N00","60"
"60554263@N00","60"
"21212056@N07","60"
"8746389@N05","60"
"81974988@N00","60"
"45213653@N00","60"
"76816764@N00","60"
"25292455@N05","60"
"8077563@N08","59"
"7229666@N03","59"
"10234308@N05","59"
"38584744@N00","59"
"75842021@N07","59"
"83232559@N00","59"
"57462257@N00","59"
"31879295@N04","59"
"33268212@N00","58"
"14265068@N00","58"
"7359204@N02","58"
"94157895@N03","58"
"34788826@N00","58"
"22257962@N00","58"
"68943672@N00","58"
"31771989@N00","58"
"40829484@N00","58"
"44124267260@N01","58"
"51035723947@N01","58"
"45129474@N00","58"
"69214385@N04","57"
"22489773@N02","57"
"48600085265@N01","57"
"32640255@N07","57"
"97888103@N00","57"
"8180997@N07","57"
"74441074@N00","57"
"51832918@N05","57"
"42697379@N00","57"
"119389724@N04","57"
"10977926@N05","57"
"94611718@N00","57"
"86292040@N00","57"
"20358419@N00","57"
"57027388@N00","57"
"49106303@N02","57"
"95071949@N00","57"
"62376436@N00","57"
"66841393@N00","56"
"64294139@N06","56"
"50218404@N00","56"
"49503179907@N01","56"
"8831683@N05","56"
"22834183@N08","56"
"42706548@N00","56"
"47948916@N00","56"
"19447876@N00","56"
"92176591@N00","56"
"8721758@N06","56"
"12716129@N00","56"
"52237661@N00","56"
"14035760@N03","56"
"43896901@N00","56"
"46045595@N00","56"
"57070123@N04","56"
"56293655@N00","56"
"79673859@N03","56"
"44925192@N00","56"
"10383138@N00","56"
"84869068@N03","56"
"11831680@N00","56"
"48807363@N04","55"
"11821713@N00","55"
"75867671@N00","55"
"95142644@N00","55"
"38839434@N00","55"
"65873073@N00","55"
"49921906@N00","55"
"29472100@N04","55"
"14891578@N07","55"
"71947277@N00","55"
"24100730@N08","55"
"14112399@N00","55"
"8640864@N03","55"
"35136029@N00","55"
"16210667@N02","55"
"52368368@N07","55"
"7382700@N05","55"
"18614695@N00","54"
"7976350@N07","54"
"86664200@N00","54"
"84376417@N00","54"
"8473570@N02","54"
"47891249@N00","54"
"21160385@N02","54"
"37928529@N00","54"
"21439390@N00","54"
"84351449@N00","54"
"22622387@N00","54"
"12933421@N00","54"
"37876490@N03","54"
"38722593@N02","53"
"44325382@N08","53"
"41182695@N08","53"
"78626811@N00","53"
"92336133@N00","53"
"86616774@N00","53"
"42257695@N04","53"
"14332784@N05","53"
"22425840@N00","53"
"96541714@N00","53"
"38135865@N00","53"
"41458602@N00","53"
"23981452@N07","53"
"43982795@N03","53"
"33228262@N00","53"
"77716109@N00","53"
"54526467@N00","53"
"61493588@N02","52"
"54441021@N02","52"
"96029790@N03","52"
"34704272@N04","52"
"21778851@N00","52"
"49898872@N00","52"
"15992362@N00","52"
"43229880@N06","52"
"79235216@N00","52"
"37952303@N02","52"
"93604422@N00","52"
"9192817@N08","52"
"23936748@N00","51"
"49503147557@N01","51"
"65561178@N00","51"
"84869992@N00","51"
"51035596640@N01","51"
"8536556@N03","51"
"94381638@N00","51"
"12519225@N03","51"
"14711846@N00","51"
"10606815@N06","51"
"21291244@N08","51"
"69843317@N00","51"
"73018807@N02","51"
"28727448@N07","51"
"84768882@N00","51"
"98478156@N00","51"
"10796563@N06","51"
"30146367@N05","51"
"54329815@N00","50"
"30862760@N07","50"
"72675636@N00","50"
"46918110@N00","50"
"47012717@N00","50"
"28541331@N00","50"
"80042108@N00","50"
"99135350@N00","50"
"46523298@N00","50"
"36801190@N00","50"
"90682717@N00","50"
"25638116@N00","50"
"46809400@N04","50"
"28924881@N00","50"
"42064358@N08","49"
"64565145@N00","49"
"54652842@N00","49"
"45996768@N08","49"
"48947735@N00","49"
"77965569@N00","49"
"77561665@N00","49"
"10100147@N06","49"
"44124385392@N01","49"
"87181954@N00","49"
"74648938@N00","49"
"23743021@N06","49"
"9033145@N03","49"
"46318435@N02","49"
"69016261@N03","49"
"12276997@N06","49"
"10486919@N00","49"
"22098403@N00","49"
"14556277@N00","48"
"85169589@N00","48"
"33589927@N00","48"
"12972611@N00","48"
"45409431@N00","48"
"9097953@N03","48"
"85903370@N00","48"
"67466795@N06","48"
"48016980@N08","48"
"11023966@N00","48"
"9087290@N02","48"
"7362086@N02","48"
"16105436@N00","48"
"32874904@N07","48"
"94302967@N00","48"
"9551635@N02","48"
"92134108@N04","48"
"38516058@N00","48"
"81603463@N08","48"
"33826407@N00","48"
"32131098@N00","48"
"91655113@N00","48"
"24522216@N03","48"
"32279917@N08","48"
"60887575@N00","48"
"17364971@N00","48"
"60032663@N00","48"
"33074163@N05","47"
"57465012@N00","47"
